,ann_status,ann_type,chromosome_id,end,extra_index,extra_index_name,id,note,source,start,strand
0,start,intergenic_region,chr1,27,20,start,seq_0,,unit_test_region_chr1_plus_1_seed_0,15,plus
1,start,intergenic_region,chr1,25,20,start,seq_1,,unit_test_region_chr1_plus_1_seed_0,16,plus
2,start,intergenic_region,chr1,26,20,start,seq_10,,unit_test_region_chr1_plus_1_seed_1,15,plus
3,end,cds,chr1,22,17,end,seq_100,,unit_test_region_chr1_plus_6_seed_14,13,plus
4,end,cds,chr1,21,17,end,seq_101,,unit_test_region_chr1_plus_6_seed_14,10,plus
5,start,cds,chr1,14,7,start,seq_102,,unit_test_region_chr1_plus_5_seed_15,0,plus
6,start,cds,chr1,12,7,start,seq_103,,unit_test_region_chr1_plus_5_seed_15,2,plus
7,start,cds,chr1,12,7,start,seq_104,,unit_test_region_chr1_plus_5_seed_15,1,plus
8,start,cds,chr1,14,7,start,seq_105,,unit_test_region_chr1_plus_5_seed_15,3,plus
9,start,cds,chr1,13,7,start,seq_106,,unit_test_region_chr1_plus_5_seed_15,2,plus
10,start,cds,chr1,12,7,start,seq_107,,unit_test_region_chr1_plus_5_seed_15,3,plus
11,end,cds,chr1,21,17,end,seq_108,,unit_test_region_chr1_plus_6_seed_16,11,plus
12,end,cds,chr1,22,17,end,seq_109,,unit_test_region_chr1_plus_6_seed_16,10,plus
13,start,intergenic_region,chr1,24,20,start,seq_11,,unit_test_region_chr1_plus_1_seed_1,15,plus
14,end,cds,chr1,24,17,end,seq_110,,unit_test_region_chr1_plus_6_seed_16,13,plus
15,end,cds,chr1,22,17,end,seq_111,,unit_test_region_chr1_plus_6_seed_16,12,plus
16,end,cds,chr1,22,17,end,seq_112,,unit_test_region_chr1_plus_6_seed_16,10,plus
17,end,cds,chr1,24,17,end,seq_113,,unit_test_region_chr1_plus_6_seed_16,11,plus
18,start,cds,chr1,19,15,start,seq_114,,unit_test_region_chr1_plus_6_seed_17,8,plus
19,start,cds,chr1,22,15,start,seq_115,,unit_test_region_chr1_plus_6_seed_17,10,plus
20,start,cds,chr1,22,15,start,seq_116,,unit_test_region_chr1_plus_6_seed_17,8,plus
21,start,cds,chr1,20,15,start,seq_117,,unit_test_region_chr1_plus_6_seed_17,10,plus
22,start,cds,chr1,21,15,start,seq_118,,unit_test_region_chr1_plus_6_seed_17,8,plus
