,ann_status,ann_type,chromosome_id,end,extra_index,extra_index_name,id,note,source,start,strand
0,start,intergenic_region,chr1,29,20,start,seed_0,,unit_test_region_chr1_plus_1,20,plus
1,start,intergenic_region,chr1,29,20,start,seed_1,,unit_test_region_chr1_plus_1,20,plus
2,middle,cds,chr1,17,16,middle,seed_10,,unit_test_region_chr1_plus_6,15,plus
3,middle,cds,chr1,17,16,middle,seed_100,,unit_test_region_chr1_plus_6,15,plus
4,middle,cds,chr1,17,16,middle,seed_101,,unit_test_region_chr1_plus_6,15,plus
5,start,cds,chr1,10,7,start,seed_102,,unit_test_region_chr1_plus_5,7,plus
6,middle,cds,chr1,17,16,middle,seed_103,,unit_test_region_chr1_plus_6,15,plus
7,end,cds,chr1,10,10,end,seed_104,,unit_test_region_chr1_plus_5,7,plus
8,start,cds,chr1,17,15,start,seed_105,,unit_test_region_chr1_plus_6,15,plus
9,middle,cds,chr1,17,16,middle,seed_106,,unit_test_region_chr1_plus_6,15,plus
10,end,cds,chr1,17,17,end,seed_107,,unit_test_region_chr1_plus_6,15,plus
11,start,cds,chr1,10,7,start,seed_108,,unit_test_region_chr1_plus_5,7,plus
12,middle,cds,chr1,17,16,middle,seed_109,,unit_test_region_chr1_plus_6,15,plus
13,middle,cds,chr1,10,8,middle,seed_11,,unit_test_region_chr1_plus_5,7,plus
14,end,cds,chr1,10,10,end,seed_12,,unit_test_region_chr1_plus_5,7,plus
15,end,cds,chr1,10,10,end,seed_13,,unit_test_region_chr1_plus_5,7,plus
16,end,cds,chr1,17,17,end,seed_14,,unit_test_region_chr1_plus_6,15,plus
17,start,cds,chr1,10,7,start,seed_15,,unit_test_region_chr1_plus_5,7,plus
18,end,cds,chr1,17,17,end,seed_16,,unit_test_region_chr1_plus_6,15,plus
19,start,cds,chr1,17,15,start,seed_17,,unit_test_region_chr1_plus_6,15,plus
20,middle,cds,chr1,10,8,middle,seed_18,,unit_test_region_chr1_plus_5,7,plus
21,middle,cds,chr1,10,8,middle,seed_19,,unit_test_region_chr1_plus_5,7,plus
22,end,intergenic_region,chr1,29,29,end,seed_2,,unit_test_region_chr1_plus_1,20,plus
23,start,cds,chr1,17,15,start,seed_20,,unit_test_region_chr1_plus_6,15,plus
24,middle,cds,chr1,10,8,middle,seed_21,,unit_test_region_chr1_plus_5,7,plus
25,middle,cds,chr1,17,16,middle,seed_22,,unit_test_region_chr1_plus_6,15,plus
26,end,cds,chr1,17,17,end,seed_23,,unit_test_region_chr1_plus_6,15,plus
27,start,cds,chr1,17,15,start,seed_24,,unit_test_region_chr1_plus_6,15,plus
28,middle,cds,chr1,17,16,middle,seed_25,,unit_test_region_chr1_plus_6,15,plus
29,start,cds,chr1,17,15,start,seed_26,,unit_test_region_chr1_plus_6,15,plus
30,start,cds,chr1,17,15,start,seed_27,,unit_test_region_chr1_plus_6,15,plus
31,start,cds,chr1,10,7,start,seed_28,,unit_test_region_chr1_plus_5,7,plus
32,middle,cds,chr1,10,8,middle,seed_29,,unit_test_region_chr1_plus_5,7,plus
33,end,intergenic_region,chr1,29,29,end,seed_3,,unit_test_region_chr1_plus_1,20,plus
34,start,cds,chr1,10,7,start,seed_30,,unit_test_region_chr1_plus_5,7,plus
35,start,cds,chr1,17,15,start,seed_31,,unit_test_region_chr1_plus_6,15,plus
36,start,cds,chr1,17,15,start,seed_32,,unit_test_region_chr1_plus_6,15,plus
37,middle,cds,chr1,10,8,middle,seed_33,,unit_test_region_chr1_plus_5,7,plus
38,middle,cds,chr1,10,8,middle,seed_34,,unit_test_region_chr1_plus_5,7,plus
39,middle,cds,chr1,10,8,middle,seed_35,,unit_test_region_chr1_plus_5,7,plus
40,start,cds,chr1,17,15,start,seed_36,,unit_test_region_chr1_plus_6,15,plus
41,middle,cds,chr1,17,16,middle,seed_37,,unit_test_region_chr1_plus_6,15,plus
42,start,cds,chr1,10,7,start,seed_38,,unit_test_region_chr1_plus_5,7,plus
43,end,cds,chr1,10,10,end,seed_39,,unit_test_region_chr1_plus_5,7,plus
44,start,intergenic_region,chr1,29,20,start,seed_4,,unit_test_region_chr1_plus_1,20,plus
45,start,cds,chr1,17,15,start,seed_40,,unit_test_region_chr1_plus_6,15,plus
46,middle,cds,chr1,10,8,middle,seed_41,,unit_test_region_chr1_plus_5,7,plus
47,middle,cds,chr1,17,16,middle,seed_42,,unit_test_region_chr1_plus_6,15,plus
48,end,cds,chr1,10,10,end,seed_43,,unit_test_region_chr1_plus_5,7,plus
49,end,cds,chr1,10,10,end,seed_44,,unit_test_region_chr1_plus_5,7,plus
50,end,cds,chr1,17,17,end,seed_45,,unit_test_region_chr1_plus_6,15,plus
51,end,cds,chr1,17,17,end,seed_46,,unit_test_region_chr1_plus_6,15,plus
52,end,cds,chr1,17,17,end,seed_47,,unit_test_region_chr1_plus_6,15,plus
53,start,cds,chr1,17,15,start,seed_48,,unit_test_region_chr1_plus_6,15,plus
54,end,cds,chr1,17,17,end,seed_49,,unit_test_region_chr1_plus_6,15,plus
55,middle,intergenic_region,chr1,29,24,middle,seed_5,,unit_test_region_chr1_plus_1,20,plus
56,start,cds,chr1,17,15,start,seed_50,,unit_test_region_chr1_plus_6,15,plus
57,end,cds,chr1,17,17,end,seed_51,,unit_test_region_chr1_plus_6,15,plus
58,middle,cds,chr1,10,8,middle,seed_52,,unit_test_region_chr1_plus_5,7,plus
59,middle,cds,chr1,17,16,middle,seed_53,,unit_test_region_chr1_plus_6,15,plus
60,middle,cds,chr1,10,8,middle,seed_54,,unit_test_region_chr1_plus_5,7,plus
61,start,cds,chr1,17,15,start,seed_55,,unit_test_region_chr1_plus_6,15,plus
62,middle,cds,chr1,17,16,middle,seed_56,,unit_test_region_chr1_plus_6,15,plus
63,middle,cds,chr1,10,8,middle,seed_57,,unit_test_region_chr1_plus_5,7,plus
64,middle,cds,chr1,17,16,middle,seed_58,,unit_test_region_chr1_plus_6,15,plus
65,end,cds,chr1,10,10,end,seed_59,,unit_test_region_chr1_plus_5,7,plus
66,start,intergenic_region,chr1,29,20,start,seed_6,,unit_test_region_chr1_plus_1,20,plus
67,middle,cds,chr1,10,8,middle,seed_60,,unit_test_region_chr1_plus_5,7,plus
68,end,cds,chr1,10,10,end,seed_61,,unit_test_region_chr1_plus_5,7,plus
69,middle,cds,chr1,10,8,middle,seed_62,,unit_test_region_chr1_plus_5,7,plus
70,middle,cds,chr1,10,8,middle,seed_63,,unit_test_region_chr1_plus_5,7,plus
71,end,cds,chr1,17,17,end,seed_64,,unit_test_region_chr1_plus_6,15,plus
72,start,cds,chr1,10,7,start,seed_65,,unit_test_region_chr1_plus_5,7,plus
73,middle,cds,chr1,10,8,middle,seed_66,,unit_test_region_chr1_plus_5,7,plus
74,end,cds,chr1,10,10,end,seed_67,,unit_test_region_chr1_plus_5,7,plus
75,start,cds,chr1,10,7,start,seed_68,,unit_test_region_chr1_plus_5,7,plus
76,end,cds,chr1,10,10,end,seed_69,,unit_test_region_chr1_plus_5,7,plus
77,end,intergenic_region,chr1,29,29,end,seed_7,,unit_test_region_chr1_plus_1,20,plus
78,start,cds,chr1,10,7,start,seed_70,,unit_test_region_chr1_plus_5,7,plus
79,start,cds,chr1,17,15,start,seed_71,,unit_test_region_chr1_plus_6,15,plus
80,middle,cds,chr1,10,8,middle,seed_72,,unit_test_region_chr1_plus_5,7,plus
81,start,cds,chr1,10,7,start,seed_73,,unit_test_region_chr1_plus_5,7,plus
82,end,cds,chr1,17,17,end,seed_74,,unit_test_region_chr1_plus_6,15,plus
83,end,cds,chr1,17,17,end,seed_75,,unit_test_region_chr1_plus_6,15,plus
84,middle,cds,chr1,17,16,middle,seed_76,,unit_test_region_chr1_plus_6,15,plus
85,start,cds,chr1,17,15,start,seed_77,,unit_test_region_chr1_plus_6,15,plus
86,end,cds,chr1,17,17,end,seed_78,,unit_test_region_chr1_plus_6,15,plus
87,middle,cds,chr1,10,8,middle,seed_79,,unit_test_region_chr1_plus_5,7,plus
88,start,intergenic_region,chr1,29,20,start,seed_8,,unit_test_region_chr1_plus_1,20,plus
89,start,cds,chr1,10,7,start,seed_80,,unit_test_region_chr1_plus_5,7,plus
90,end,cds,chr1,10,10,end,seed_81,,unit_test_region_chr1_plus_5,7,plus
91,middle,cds,chr1,17,16,middle,seed_82,,unit_test_region_chr1_plus_6,15,plus
92,end,cds,chr1,10,10,end,seed_83,,unit_test_region_chr1_plus_5,7,plus
93,start,cds,chr1,10,7,start,seed_84,,unit_test_region_chr1_plus_5,7,plus
94,middle,cds,chr1,17,16,middle,seed_85,,unit_test_region_chr1_plus_6,15,plus
95,middle,cds,chr1,17,16,middle,seed_86,,unit_test_region_chr1_plus_6,15,plus
96,middle,cds,chr1,17,16,middle,seed_87,,unit_test_region_chr1_plus_6,15,plus
97,start,cds,chr1,10,7,start,seed_88,,unit_test_region_chr1_plus_5,7,plus
98,middle,cds,chr1,17,16,middle,seed_89,,unit_test_region_chr1_plus_6,15,plus
99,middle,intergenic_region,chr1,29,24,middle,seed_9,,unit_test_region_chr1_plus_1,20,plus
100,end,cds,chr1,17,17,end,seed_90,,unit_test_region_chr1_plus_6,15,plus
101,middle,cds,chr1,10,8,middle,seed_91,,unit_test_region_chr1_plus_5,7,plus
102,end,cds,chr1,10,10,end,seed_92,,unit_test_region_chr1_plus_5,7,plus
103,start,cds,chr1,10,7,start,seed_93,,unit_test_region_chr1_plus_5,7,plus
104,end,cds,chr1,10,10,end,seed_94,,unit_test_region_chr1_plus_5,7,plus
105,start,cds,chr1,17,15,start,seed_95,,unit_test_region_chr1_plus_6,15,plus
106,end,cds,chr1,17,17,end,seed_96,,unit_test_region_chr1_plus_6,15,plus
107,end,cds,chr1,10,10,end,seed_97,,unit_test_region_chr1_plus_5,7,plus
108,start,cds,chr1,17,15,start,seed_98,,unit_test_region_chr1_plus_6,15,plus
109,start,cds,chr1,17,15,start,seed_99,,unit_test_region_chr1_plus_6,15,plus
