,ann_status,ann_type,chromosome_id,end,extra_index,extra_index_name,id,note,source,start,strand
0,middle,cds,chr1,17,16,middle,seed_0,,unit_test_region_chr1_plus6,15,plus
1,middle,cds,chr1,17,16,middle,seed_1,,unit_test_region_chr1_plus6,15,plus
2,middle,cds,chr1,10,8,middle,seed_10,,unit_test_region_chr1_plus5,7,plus
3,end,intergenic_region,chr1,29,29,end,seed_100,,unit_test_region_chr1_plus1,20,plus
4,start,intergenic_region,chr1,29,20,start,seed_101,,unit_test_region_chr1_plus1,20,plus
5,middle,intergenic_region,chr1,29,24,middle,seed_102,,unit_test_region_chr1_plus1,20,plus
6,end,intergenic_region,chr1,29,29,end,seed_103,,unit_test_region_chr1_plus1,20,plus
7,start,intergenic_region,chr1,29,20,start,seed_104,,unit_test_region_chr1_plus1,20,plus
8,middle,intergenic_region,chr1,29,24,middle,seed_105,,unit_test_region_chr1_plus1,20,plus
9,middle,intergenic_region,chr1,29,24,middle,seed_106,,unit_test_region_chr1_plus1,20,plus
10,middle,intergenic_region,chr1,29,24,middle,seed_107,,unit_test_region_chr1_plus1,20,plus
11,start,intergenic_region,chr1,29,20,start,seed_108,,unit_test_region_chr1_plus1,20,plus
12,end,intergenic_region,chr1,29,29,end,seed_109,,unit_test_region_chr1_plus1,20,plus
13,middle,cds,chr1,10,8,middle,seed_11,,unit_test_region_chr1_plus5,7,plus
14,start,cds,chr1,10,7,start,seed_12,,unit_test_region_chr1_plus5,7,plus
15,start,cds,chr1,10,7,start,seed_13,,unit_test_region_chr1_plus5,7,plus
16,start,cds,chr1,10,7,start,seed_14,,unit_test_region_chr1_plus5,7,plus
17,end,cds,chr1,10,10,end,seed_15,,unit_test_region_chr1_plus5,7,plus
18,middle,cds,chr1,10,8,middle,seed_16,,unit_test_region_chr1_plus5,7,plus
19,middle,cds,chr1,10,8,middle,seed_17,,unit_test_region_chr1_plus5,7,plus
20,end,cds,chr1,17,17,end,seed_18,,unit_test_region_chr1_plus6,15,plus
21,end,cds,chr1,17,17,end,seed_19,,unit_test_region_chr1_plus6,15,plus
22,start,cds,chr1,17,15,start,seed_2,,unit_test_region_chr1_plus6,15,plus
23,middle,cds,chr1,10,8,middle,seed_20,,unit_test_region_chr1_plus5,7,plus
24,start,cds,chr1,10,7,start,seed_21,,unit_test_region_chr1_plus5,7,plus
25,middle,cds,chr1,17,16,middle,seed_22,,unit_test_region_chr1_plus6,15,plus
26,start,cds,chr1,10,7,start,seed_23,,unit_test_region_chr1_plus5,7,plus
27,middle,cds,chr1,10,8,middle,seed_24,,unit_test_region_chr1_plus5,7,plus
28,end,cds,chr1,17,17,end,seed_25,,unit_test_region_chr1_plus6,15,plus
29,end,cds,chr1,10,10,end,seed_26,,unit_test_region_chr1_plus5,7,plus
30,middle,cds,chr1,10,8,middle,seed_27,,unit_test_region_chr1_plus5,7,plus
31,start,cds,chr1,10,7,start,seed_28,,unit_test_region_chr1_plus5,7,plus
32,start,cds,chr1,17,15,start,seed_29,,unit_test_region_chr1_plus6,15,plus
33,middle,cds,chr1,17,16,middle,seed_3,,unit_test_region_chr1_plus6,15,plus
34,end,cds,chr1,17,17,end,seed_30,,unit_test_region_chr1_plus6,15,plus
35,middle,cds,chr1,17,16,middle,seed_31,,unit_test_region_chr1_plus6,15,plus
36,end,cds,chr1,10,10,end,seed_32,,unit_test_region_chr1_plus5,7,plus
37,end,cds,chr1,17,17,end,seed_33,,unit_test_region_chr1_plus6,15,plus
38,middle,cds,chr1,10,8,middle,seed_34,,unit_test_region_chr1_plus5,7,plus
39,start,cds,chr1,17,15,start,seed_35,,unit_test_region_chr1_plus6,15,plus
40,start,cds,chr1,10,7,start,seed_36,,unit_test_region_chr1_plus5,7,plus
41,start,cds,chr1,10,7,start,seed_37,,unit_test_region_chr1_plus5,7,plus
42,start,cds,chr1,10,7,start,seed_38,,unit_test_region_chr1_plus5,7,plus
43,middle,cds,chr1,10,8,middle,seed_39,,unit_test_region_chr1_plus5,7,plus
44,end,cds,chr1,17,17,end,seed_4,,unit_test_region_chr1_plus6,15,plus
45,end,cds,chr1,17,17,end,seed_40,,unit_test_region_chr1_plus6,15,plus
46,end,cds,chr1,17,17,end,seed_41,,unit_test_region_chr1_plus6,15,plus
47,end,cds,chr1,17,17,end,seed_42,,unit_test_region_chr1_plus6,15,plus
48,end,cds,chr1,10,10,end,seed_43,,unit_test_region_chr1_plus5,7,plus
49,middle,cds,chr1,10,8,middle,seed_44,,unit_test_region_chr1_plus5,7,plus
50,middle,cds,chr1,17,16,middle,seed_45,,unit_test_region_chr1_plus6,15,plus
51,end,cds,chr1,17,17,end,seed_46,,unit_test_region_chr1_plus6,15,plus
52,start,cds,chr1,10,7,start,seed_47,,unit_test_region_chr1_plus5,7,plus
53,end,cds,chr1,17,17,end,seed_48,,unit_test_region_chr1_plus6,15,plus
54,middle,cds,chr1,10,8,middle,seed_49,,unit_test_region_chr1_plus5,7,plus
55,start,cds,chr1,17,15,start,seed_5,,unit_test_region_chr1_plus6,15,plus
56,middle,cds,chr1,17,16,middle,seed_50,,unit_test_region_chr1_plus6,15,plus
57,end,cds,chr1,10,10,end,seed_51,,unit_test_region_chr1_plus5,7,plus
58,middle,cds,chr1,17,16,middle,seed_52,,unit_test_region_chr1_plus6,15,plus
59,start,cds,chr1,10,7,start,seed_53,,unit_test_region_chr1_plus5,7,plus
60,start,cds,chr1,17,15,start,seed_54,,unit_test_region_chr1_plus6,15,plus
61,start,cds,chr1,10,7,start,seed_55,,unit_test_region_chr1_plus5,7,plus
62,start,cds,chr1,17,15,start,seed_56,,unit_test_region_chr1_plus6,15,plus
